fixture,operation,variant,runtime,option,source,max_abs,mean_abs,unequal,nonfinite_pattern_difference,elements
primitives_5x7,sf,octave_decomposition,octave_inverse_and_scaling,2,1,0.0,0.0,0,0,35
primitives_5x7,sf,octave_decomposition,octave_inverse_and_scaling,2,2,0.0,0.0,0,0,35
primitives_5x7,sf,octave_decomposition,octave_inverse_and_scaling,2,3,0.0,0.0,0,0,35
primitives_5x7,spec,native,python,0,1,0.0,0.0,0,0,35
primitives_5x7,spec,native,python,0,2,0.0,0.0,0,0,35
primitives_5x7,spec,native,python,0,3,77.0,32.857142857142854,34,0,35
primitives_5x7,spec,native,octave_inverse_and_scaling,0,1,0.0,0.0,0,0,35
primitives_5x7,spec,native,octave_inverse_and_scaling,0,2,0.0,0.0,0,0,35
primitives_5x7,spec,native,octave_inverse_and_scaling,0,3,77.0,32.857142857142854,34,0,35
primitives_5x7,spec,native,python,1,1,0.0,0.0,0,0,35
primitives_5x7,spec,native,python,1,2,0.0,0.0,0,0,35
primitives_5x7,spec,native,python,1,3,74.0,31.742857142857144,34,0,35
primitives_5x7,spec,native,octave_inverse_and_scaling,1,1,0.0,0.0,0,0,35
primitives_5x7,spec,native,octave_inverse_and_scaling,1,2,0.0,0.0,0,0,35
primitives_5x7,spec,native,octave_inverse_and_scaling,1,3,74.0,31.742857142857144,34,0,35
primitives_5x7,spec,native,python,2,1,4.0,2.8285714285714287,34,0,35
primitives_5x7,spec,native,python,2,2,4.0,2.8285714285714287,34,0,35
primitives_5x7,spec,native,python,2,3,89.0,36.97142857142857,35,0,35
primitives_5x7,spec,native,octave_inverse_and_scaling,2,1,4.0,2.8285714285714287,34,0,35
primitives_5x7,spec,native,octave_inverse_and_scaling,2,2,4.0,2.8285714285714287,34,0,35
primitives_5x7,spec,native,octave_inverse_and_scaling,2,3,89.0,36.97142857142857,35,0,35
primitives_5x7,spec,octave_decomposition,python,0,1,0.0,0.0,0,0,35
primitives_5x7,spec,octave_decomposition,python,0,2,0.0,0.0,0,0,35
primitives_5x7,spec,octave_decomposition,python,0,3,0.0,0.0,0,0,35
primitives_5x7,spec,octave_decomposition,octave_inverse_and_scaling,0,1,0.0,0.0,0,0,35
primitives_5x7,spec,octave_decomposition,octave_inverse_and_scaling,0,2,0.0,0.0,0,0,35
primitives_5x7,spec,octave_decomposition,octave_inverse_and_scaling,0,3,0.0,0.0,0,0,35
primitives_5x7,spec,octave_decomposition,python,1,1,0.0,0.0,0,0,35
primitives_5x7,spec,octave_decomposition,python,1,2,0.0,0.0,0,0,35
primitives_5x7,spec,octave_decomposition,python,1,3,0.0,0.0,0,0,35
primitives_5x7,spec,octave_decomposition,octave_inverse_and_scaling,1,1,0.0,0.0,0,0,35
primitives_5x7,spec,octave_decomposition,octave_inverse_and_scaling,1,2,0.0,0.0,0,0,35
primitives_5x7,spec,octave_decomposition,octave_inverse_and_scaling,1,3,0.0,0.0,0,0,35
primitives_5x7,spec,octave_decomposition,python,2,1,0.0,0.0,0,0,35
primitives_5x7,spec,octave_decomposition,python,2,2,0.0,0.0,0,0,35
primitives_5x7,spec,octave_decomposition,python,2,3,0.0,0.0,0,0,35
primitives_5x7,spec,octave_decomposition,octave_inverse_and_scaling,2,1,0.0,0.0,0,0,35
primitives_5x7,spec,octave_decomposition,octave_inverse_and_scaling,2,2,0.0,0.0,0,0,35
primitives_5x7,spec,octave_decomposition,octave_inverse_and_scaling,2,3,0.0,0.0,0,0,35
primitives_5x8,sf,native,python,0,1,0.0,0.0,0,0,40
primitives_5x8,sf,native,python,0,2,0.0,0.0,0,0,40
primitives_5x8,sf,native,python,0,3,255.0,123.8,31,0,40
primitives_5x8,sf,native,octave_inverse_and_scaling,0,1,0.0,0.0,0,0,40
primitives_5x8,sf,native,octave_inverse_and_scaling,0,2,0.0,0.0,0,0,40
primitives_5x8,sf,native,octave_inverse_and_scaling,0,3,255.0,123.8,31,0,40
primitives_5x8,sf,native,python,1,1,57.0,25.25,40,0,40
primitives_5x8,sf,native,python,1,2,56.0,24.625,39,0,40
primitives_5x8,sf,native,python,1,3,255.0,132.075,39,0,40
primitives_5x8,sf,native,octave_inverse_and_scaling,1,1,57.0,25.25,40,0,40
primitives_5x8,sf,native,octave_inverse_and_scaling,1,2,56.0,24.625,39,0,40
primitives_5x8,sf,native,octave_inverse_and_scaling,1,3,255.0,132.075,39,0,40
primitives_5x8,sf,native,python,2,1,214.0,108.275,40,0,40
primitives_5x8,sf,native,python,2,2,233.0,138.675,40,0,40
primitives_5x8,sf,native,python,2,3,255.0,132.2,35,0,40
primitives_5x8,sf,native,octave_inverse_and_scaling,2,1,214.0,108.275,40,0,40
primitives_5x8,sf,native,octave_inverse_and_scaling,2,2,233.0,138.675,40,0,40
primitives_5x8,sf,native,octave_inverse_and_scaling,2,3,255.0,132.2,35,0,40
primitives_5x8,sf,octave_decomposition,python,0,1,0.0,0.0,0,0,40
primitives_5x8,sf,octave_decomposition,python,0,2,0.0,0.0,0,0,40
primitives_5x8,sf,octave_decomposition,python,0,3,0.0,0.0,0,0,40
primitives_5x8,sf,octave_decomposition,octave_inverse_and_scaling,0,1,0.0,0.0,0,0,40
primitives_5x8,sf,octave_decomposition,octave_inverse_and_scaling,0,2,0.0,0.0,0,0,40
primitives_5x8,sf,octave_decomposition,octave_inverse_and_scaling,0,3,0.0,0.0,0,0,40
primitives_5x8,sf,octave_decomposition,python,1,1,232.0,106.775,39,0,40
primitives_5x8,sf,octave_decomposition,python,1,2,255.0,142.75,40,0,40
primitives_5x8,sf,octave_decomposition,python,1,3,0.0,0.0,0,0,40
primitives_5x8,sf,octave_decomposition,octave_inverse_and_scaling,1,1,0.0,0.0,0,0,40
primitives_5x8,sf,octave_decomposition,octave_inverse_and_scaling,1,2,0.0,0.0,0,0,40
primitives_5x8,sf,octave_decomposition,octave_inverse_and_scaling,1,3,0.0,0.0,0,0,40
primitives_5x8,sf,octave_decomposition,python,2,1,0.0,0.0,0,0,40
primitives_5x8,sf,octave_decomposition,python,2,2,0.0,0.0,0,0,40
primitives_5x8,sf,octave_decomposition,python,2,3,0.0,0.0,0,0,40
primitives_5x8,sf,octave_decomposition,octave_inverse_and_scaling,2,1,0.0,0.0,0,0,40
primitives_5x8,sf,octave_decomposition,octave_inverse_and_scaling,2,2,0.0,0.0,0,0,40
primitives_5x8,sf,octave_decomposition,octave_inverse_and_scaling,2,3,0.0,0.0,0,0,40
primitives_5x8,spec,native,python,0,1,0.0,0.0,0,0,40
primitives_5x8,spec,native,python,0,2,0.0,0.0,0,0,40
primitives_5x8,spec,native,python,0,3,91.0,30.6,40,0,40
primitives_5x8,spec,native,octave_inverse_and_scaling,0,1,0.0,0.0,0,0,40
primitives_5x8,spec,native,octave_inverse_and_scaling,0,2,0.0,0.0,0,0,40
primitives_5x8,spec,native,octave_inverse_and_scaling,0,3,91.0,30.6,40,0,40
primitives_5x8,spec,native,python,1,1,0.0,0.0,0,0,40
primitives_5x8,spec,native,python,1,2,0.0,0.0,0,0,40
primitives_5x8,spec,native,python,1,3,103.0,34.35,40,0,40
primitives_5x8,spec,native,octave_inverse_and_scaling,1,1,0.0,0.0,0,0,40
primitives_5x8,spec,native,octave_inverse_and_scaling,1,2,0.0,0.0,0,0,40
primitives_5x8,spec,native,octave_inverse_and_scaling,1,3,103.0,34.35,40,0,40
primitives_5x8,spec,native,python,2,1,1.0,0.7,28,0,40
primitives_5x8,spec,native,python,2,2,1.0,0.725,29,0,40
primitives_5x8,spec,native,python,2,3,104.0,35.0,39,0,40
primitives_5x8,spec,native,octave_inverse_and_scaling,2,1,1.0,0.7,28,0,40
primitives_5x8,spec,native,octave_inverse_and_scaling,2,2,1.0,0.725,29,0,40
primitives_5x8,spec,native,octave_inverse_and_scaling,2,3,104.0,35.0,39,0,40
primitives_5x8,spec,octave_decomposition,python,0,1,0.0,0.0,0,0,40
primitives_5x8,spec,octave_decomposition,python,0,2,0.0,0.0,0,0,40
primitives_5x8,spec,octave_decomposition,python,0,3,0.0,0.0,0,0,40
primitives_5x8,spec,octave_decomposition,octave_inverse_and_scaling,0,1,0.0,0.0,0,0,40
