runtime,fixture,operation,option,source,max_abs,mean_abs,unequal,nonfinite_pattern_difference,elements
octave_default,primitives_16x18,sf,0,1,0.0,0.0,0,0,288
octave_default,primitives_16x18,sf,0,2,0.0,0.0,0,0,288
octave_default,primitives_16x18,sf,0,3,0.0,0.0,0,0,288
octave_default,primitives_16x18,sf,1,1,0.0,0.0,0,0,288
octave_default,primitives_16x18,sf,1,2,0.0,0.0,0,0,288
octave_default,primitives_16x18,sf,1,3,0.0,0.0,0,0,288
octave_default,primitives_16x18,sf,2,1,0.0,0.0,0,0,288
octave_default,primitives_16x18,sf,2,2,0.0,0.0,0,0,288
octave_default,primitives_16x18,sf,2,3,0.0,0.0,0,0,288
octave_default,primitives_16x18,spec,0,1,0.0,0.0,0,0,288
octave_default,primitives_16x18,spec,0,2,0.0,0.0,0,0,288
octave_default,primitives_16x18,spec,0,3,0.0,0.0,0,0,288
octave_default,primitives_16x18,spec,1,1,0.0,0.0,0,0,288
octave_default,primitives_16x18,spec,1,2,0.0,0.0,0,0,288
octave_default,primitives_16x18,spec,1,3,0.0,0.0,0,0,288
octave_default,primitives_16x18,spec,2,1,0.0,0.0,0,0,288
octave_default,primitives_16x18,spec,2,2,0.0,0.0,0,0,288
octave_default,primitives_16x18,spec,2,3,0.0,0.0,0,0,288
octave_default,primitives_5x7,sf,0,1,0.0,0.0,0,0,35
octave_default,primitives_5x7,sf,0,2,0.0,0.0,0,0,35
octave_default,primitives_5x7,sf,0,3,0.0,0.0,0,0,35
octave_default,primitives_5x7,sf,1,1,0.0,0.0,0,0,35
octave_default,primitives_5x7,sf,1,2,0.0,0.0,0,0,35
octave_default,primitives_5x7,sf,1,3,0.0,0.0,0,0,35
octave_default,primitives_5x7,sf,2,1,0.0,0.0,0,0,35
octave_default,primitives_5x7,sf,2,2,0.0,0.0,0,0,35
octave_default,primitives_5x7,sf,2,3,0.0,0.0,0,0,35
octave_default,primitives_5x7,spec,0,1,0.0,0.0,0,0,35
octave_default,primitives_5x7,spec,0,2,0.0,0.0,0,0,35
octave_default,primitives_5x7,spec,0,3,0.0,0.0,0,0,35
