fixture,operation,option,source,output_max_abs,output_unequal,raw_fft_max_abs,python_mag_min,octave_mag_min,python_mag_max,octave_mag_max,python_exact_zeros,octave_exact_zeros,phase_error_max_rad,spec_promoted_error_fraction_below_1e_14,python_below_1e-15,octave_below_1e-15,python_below_1e-14,octave_below_1e-14,python_below_1e-13,octave_below_1e-13,python_below_1e-12,octave_below_1e-12
primitives_5x7,spec,0,1,0.0,0,1.7763568394002505e-15,0.2104466699021375,0.21044666990213745,15.250980392156864,15.250980392156862,0,0,4.440892098500626e-16,0.0,0,0,0,0,0,0,0,0
primitives_5x7,spec,0,2,0.0,0,1.2994827337208943e-15,0.34953437261521686,0.3495343726152171,16.00392156862745,16.00392156862745,0,0,8.881784197001252e-16,0.0,0,0,0,0,0,0,0,0
primitives_5x7,spec,0,3,77.0,34,1.2560739669470201e-15,2.2011621213242638e-17,9.963372534398945e-17,12.792156862745099,12.792156862745099,0,0,3.0079736403707584,0.9999999999999996,24,24,24,24,24,24,24,24
primitives_5x7,spec,1,1,0.0,0,1.7763568394002505e-15,0.2104466699021375,0.21044666990213745,15.250980392156864,15.250980392156862,0,0,4.440892098500626e-16,0.0,0,0,0,0,0,0,0,0
primitives_5x7,spec,1,2,0.0,0,1.2994827337208943e-15,0.34953437261521686,0.3495343726152171,16.00392156862745,16.00392156862745,0,0,8.881784197001252e-16,0.0,0,0,0,0,0,0,0,0
primitives_5x7,spec,1,3,74.0,34,1.2560739669470201e-15,2.2011621213242638e-17,9.963372534398945e-17,12.792156862745099,12.792156862745099,0,0,3.0079736403707584,0.9999999999999996,24,24,24,24,24,24,24,24
primitives_5x7,spec,2,1,4.0,34,1.7763568394002505e-15,0.2104466699021375,0.21044666990213745,15.250980392156864,15.250980392156862,0,0,4.440892098500626e-16,0.0,0,0,0,0,0,0,0,0
primitives_5x7,spec,2,2,4.0,34,1.2994827337208943e-15,0.34953437261521686,0.3495343726152171,16.00392156862745,16.00392156862745,0,0,8.881784197001252e-16,0.0,0,0,0,0,0,0,0,0
primitives_5x7,spec,2,3,89.0,35,1.2560739669470201e-15,2.2011621213242638e-17,9.963372534398945e-17,12.792156862745099,12.792156862745099,0,0,3.0079736403707584,0.9999999999999996,24,24,24,24,24,24,24,24
primitives_5x8,sf,0,1,0.0,0,1.79383492860469e-15,0.33121677237248914,0.3312167723724893,17.70980392156863,17.70980392156863,0,0,1.3322676295501878e-15,0.0,0,0,0,0,0,0,0,0
primitives_5x8,sf,0,2,0.0,0,3.552713678800501e-15,0.15753355691237877,0.15753355691237875,19.764705882352942,19.76470588235294,0,0,1.7763568394002505e-15,0.0,0,0,0,0,0,0,0,0
primitives_5x8,sf,0,3,255.0,31,7.216449660063518e-16,4.5907663189856284e-17,0.0,15.011764705882353,15.011764705882353,0,6,2.379631823581302,1.0,28,28,28,28,28,28,28,28
primitives_5x8,sf,1,1,57.0,40,1.79383492860469e-15,0.33121677237248914,0.3312167723724893,17.70980392156863,17.70980392156863,0,0,1.3322676295501878e-15,0.0,0,0,0,0,0,0,0,0
primitives_5x8,sf,1,2,56.0,39,3.552713678800501e-15,0.15753355691237877,0.15753355691237875,19.764705882352942,19.76470588235294,0,0,1.7763568394002505e-15,0.0,0,0,0,0,0,0,0,0
primitives_5x8,sf,1,3,255.0,39,7.216449660063518e-16,4.5907663189856284e-17,0.0,15.011764705882353,15.011764705882353,0,6,2.379631823581302,1.0,28,28,28,28,28,28,28,28
primitives_5x8,sf,2,1,214.0,40,1.79383492860469e-15,0.33121677237248914,0.3312167723724893,17.70980392156863,17.70980392156863,0,0,1.3322676295501878e-15,0.0,0,0,0,0,0,0,0,0
primitives_5x8,sf,2,2,233.0,40,3.552713678800501e-15,0.15753355691237877,0.15753355691237875,19.764705882352942,19.76470588235294,0,0,1.7763568394002505e-15,0.0,0,0,0,0,0,0,0,0
primitives_5x8,sf,2,3,255.0,35,7.216449660063518e-16,4.5907663189856284e-17,0.0,15.011764705882353,15.011764705882353,0,6,2.379631823581302,1.0,28,28,28,28,28,28,28,28
primitives_5x8,spec,0,1,0.0,0,1.79383492860469e-15,0.33121677237248914,0.3312167723724893,17.70980392156863,17.70980392156863,0,0,1.3322676295501878e-15,0.0,0,0,0,0,0,0,0,0
primitives_5x8,spec,0,2,0.0,0,3.552713678800501e-15,0.15753355691237877,0.15753355691237875,19.764705882352942,19.76470588235294,0,0,1.7763568394002505e-15,0.0,0,0,0,0,0,0,0,0
primitives_5x8,spec,0,3,91.0,40,7.216449660063518e-16,4.5907663189856284e-17,0.0,15.011764705882353,15.011764705882353,0,6,2.379631823581302,1.0,28,28,28,28,28,28,28,28
primitives_5x8,spec,1,1,0.0,0,1.79383492860469e-15,0.33121677237248914,0.3312167723724893,17.70980392156863,17.70980392156863,0,0,1.3322676295501878e-15,0.0,0,0,0,0,0,0,0,0
primitives_5x8,spec,1,2,0.0,0,3.552713678800501e-15,0.15753355691237877,0.15753355691237875,19.764705882352942,19.76470588235294,0,0,1.7763568394002505e-15,0.0,0,0,0,0,0,0,0,0
primitives_5x8,spec,1,3,103.0,40,7.216449660063518e-16,4.5907663189856284e-17,0.0,15.011764705882353,15.011764705882353,0,6,2.379631823581302,1.0,28,28,28,28,28,28,28,28
primitives_5x8,spec,2,1,1.0,28,1.79383492860469e-15,0.33121677237248914,0.3312167723724893,17.70980392156863,17.70980392156863,0,0,1.3322676295501878e-15,0.0,0,0,0,0,0,0,0,0
primitives_5x8,spec,2,2,1.0,29,3.552713678800501e-15,0.15753355691237877,0.15753355691237875,19.764705882352942,19.76470588235294,0,0,1.7763568394002505e-15,0.0,0,0,0,0,0,0,0,0
primitives_5x8,spec,2,3,104.0,39,7.216449660063518e-16,4.5907663189856284e-17,0.0,15.011764705882353,15.011764705882353,0,6,2.379631823581302,1.0,28,28,28,28,28,28,28,28
primitives_6x8,spec,0,1,0.0,0,1.7763568394002505e-15,0.2613406005610094,0.2613406005610092,21.254901960784313,21.254901960784313,0,0,1.3322676295501878e-15,0.0,0,0,0,0,0,0,0,0
primitives_6x8,spec,0,2,4.0,41,2.1897020778056683e-15,1.3460738804684947e-15,2.482534153247273e-16,23.749019607843138,23.749019607843138,0,0,2.177791504701068,0.9999999999999126,0,2,2,2,2,2,2,2
primitives_6x8,spec,0,3,98.0,48,2.7012892057857034e-15,5.969478020734221e-17,0.0,21.866666666666667,21.866666666666667,0,1,3.141592653589793,0.9999999999999998,35,35,35,35,35,35,35,35
primitives_6x8,spec,1,1,4.0,45,1.7763568394002505e-15,0.2613406005610094,0.2613406005610092,21.254901960784313,21.254901960784313,0,0,1.3322676295501878e-15,0.0,0,0,0,0,0,0,0,0
primitives_6x8,spec,1,2,7.0,45,2.1897020778056683e-15,1.3460738804684947e-15,2.482534153247273e-16,23.749019607843138,23.749019607843138,0,0,2.177791504701068,0.9999999999999126,0,2,2,2,2,2,2,2
primitives_6x8,spec,1,3,95.0,48,2.7012892057857034e-15,5.969478020734221e-17,0.0,21.866666666666667,21.866666666666667,0,1,3.141592653589793,0.9999999999999998,35,35,35,35,35,35,35,35
primitives_6x8,spec,2,1,3.0,41,1.7763568394002505e-15,0.2613406005610094,0.2613406005610092,21.254901960784313,21.254901960784313,0,0,1.3322676295501878e-15,0.0,0,0,0,0,0,0,0,0
primitives_6x8,spec,2,2,7.0,45,2.1897020778056683e-15,1.3460738804684947e-15,2.482534153247273e-16,23.749019607843138,23.749019607843138,0,0,2.177791504701068,0.9999999999999126,0,2,2,2,2,2,2,2
primitives_6x8,spec,2,3,107.0,47,2.7012892057857034e-15,5.969478020734221e-17,0.0,21.866666666666667,21.866666666666667,0,1,3.141592653589793,0.9999999999999998,35,35,35,35,35,35,35,35
primitives_8x5,sf,0,1,0.0,0,3.552713678800501e-15,0.35726099563454305,0.3572609956345428,17.992156862745098,17.992156862745095,0,0,8.881784197001252e-16,0.0,0,0,0,0,0,0,0,0
primitives_8x5,sf,0,2,0.0,0,3.552713678800501e-15,0.15753355691237902,0.157533556912379,18.870588235294118,18.870588235294115,0,0,1.4432899320127035e-15,0.0,0,0,0,0,0,0,0,0
primitives_8x5,sf,0,3,4.0,28,3.552713678800501e-15,3.665736711601686e-17,8.975164883208671e-17,18.50980392156863,18.509803921568626,0,0,2.924653197892773,1.0,28,28,28,28,28,28,28,28
primitives_8x5,sf,1,1,4.0,40,3.552713678800501e-15,0.35726099563454305,0.3572609956345428,17.992156862745098,17.992156862745095,0,0,8.881784197001252e-16,0.0,0,0,0,0,0,0,0,0
primitives_8x5,sf,1,2,4.0,40,3.552713678800501e-15,0.15753355691237902,0.157533556912379,18.870588235294118,18.870588235294115,0,0,1.4432899320127035e-15,0.0,0,0,0,0,0,0,0,0
primitives_8x5,sf,1,3,7.0,31,3.552713678800501e-15,3.665736711601686e-17,8.975164883208671e-17,18.50980392156863,18.509803921568626,0,0,2.924653197892773,1.0,28,28,28,28,28,28,28,28
primitives_8x5,sf,2,1,2.0,40,3.552713678800501e-15,0.35726099563454305,0.3572609956345428,17.992156862745098,17.992156862745095,0,0,8.881784197001252e-16,0.0,0,0,0,0,0,0,0,0
primitives_8x5,sf,2,2,2.0,40,3.552713678800501e-15,0.15753355691237902,0.157533556912379,18.870588235294118,18.870588235294115,0,0,1.4432899320127035e-15,0.0,0,0,0,0,0,0,0,0
primitives_8x5,sf,2,3,6.0,24,3.552713678800501e-15,3.665736711601686e-17,8.975164883208671e-17,18.50980392156863,18.509803921568626,0,0,2.924653197892773,1.0,28,28,28,28,28,28,28,28
primitives_8x5,spec,0,1,0.0,0,3.552713678800501e-15,0.35726099563454305,0.3572609956345428,17.992156862745098,17.992156862745095,0,0,8.881784197001252e-16,0.0,0,0,0,0,0,0,0,0
primitives_8x5,spec,0,2,0.0,0,3.552713678800501e-15,0.15753355691237902,0.157533556912379,18.870588235294118,18.870588235294115,0,0,1.4432899320127035e-15,0.0,0,0,0,0,0,0,0,0
primitives_8x5,spec,0,3,110.0,40,3.552713678800501e-15,3.665736711601686e-17,8.975164883208671e-17,18.50980392156863,18.509803921568626,0,0,2.924653197892773,1.0,28,28,28,28,28,28,28,28
primitives_8x5,spec,1,1,1.0,16,3.552713678800501e-15,0.35726099563454305,0.3572609956345428,17.992156862745098,17.992156862745095,0,0,8.881784197001252e-16,0.0,0,0,0,0,0,0,0,0
primitives_8x5,spec,1,2,1.0,12,3.552713678800501e-15,0.15753355691237902,0.157533556912379,18.870588235294118,18.870588235294115,0,0,1.4432899320127035e-15,0.0,0,0,0,0,0,0,0,0
primitives_8x5,spec,1,3,113.0,40,3.552713678800501e-15,3.665736711601686e-17,8.975164883208671e-17,18.50980392156863,18.509803921568626,0,0,2.924653197892773,1.0,28,28,28,28,28,28,28,28
primitives_8x5,spec,2,1,8.0,39,3.552713678800501e-15,0.35726099563454305,0.3572609956345428,17.992156862745098,17.992156862745095,0,0,8.881784197001252e-16,0.0,0,0,0,0,0,0,0,0
primitives_8x5,spec,2,2,9.0,37,3.552713678800501e-15,0.15753355691237902,0.157533556912379,18.870588235294118,18.870588235294115,0,0,1.4432899320127035e-15,0.0,0,0,0,0,0,0,0,0
primitives_8x5,spec,2,3,118.0,40,3.552713678800501e-15,3.665736711601686e-17,8.975164883208671e-17,18.50980392156863,18.509803921568626,0,0,2.924653197892773,1.0,28,28,28,28,28,28,28,28
